,GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich
133,GBS-15191,,männlich,1974-10-10,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,keine passende Angabe,"mehrere Personen, und zwar:",2 250	 bis unter	2 500 Euro,4 000	 bis unter	4 500 Euro,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),2.0,2.0,2.0,3.0,,5.0,,2.0,2.0,4.0,4.0,4.0,4.0
134,GBS-15191,,männlich,,,,,Hochschulabschluss,,,,,2 250	 bis unter	2 500 Euro,,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),2.0,2.0,2.0,2.0,True,,,3.0,2.0,4.0,4.0,4.0,4.0
135,GBS-33916,,weiblich,1996-04-21,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",1.0,Ausbildung,eine Person,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
136,GBS-29696,,männlich,1995-07-13,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",2.0,Angestellte(r),eine Person,500 	 bis unter	800 Euro,801	 bis unter 	1 000 Euro,eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
137,GBS-15526,POSITIV,männlich,1957-02-27,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Fachhochschulabschluss (z. B. Diplom, Master)",1.0,keine passende Angabe,"mehrere Personen, und zwar:",4 500	 bis unter	5 000 Euro,4 500	 bis unter	5 000 Euro,eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,3.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,3.0,4.0
138,GBS-15526,POSITIV,männlich,,,,,Hochschulabschluss,,,,,4 500	 bis unter	5 000 Euro,,eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,3.0,3.0,4.0
139,GBS-33943,,weiblich,1961-01-31,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",-1.0,[NA] Keine Angabe,[NA] Keine Angabe,kein eigenes Einkommen,5 500	 bis unter	6 000 Euro,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,2.0,2.0,3.0,,5.0,,2.0,2.0,3.0,3.0,3.0,3.0
140,GBS-33943,,weiblich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,kein eigenes Einkommen,,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,2.0,2.0,3.0,True,,,2.0,2.0,3.0,3.0,3.0,3.0
141,GBS-03833,,männlich,1985-11-16,Deutschland,1.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",3 250	 bis unter 	3 500 Euro,6 000	 bis unter 	7 500 Euro,trifft eher nicht zu (2),trifft voll und ganz zu (5),weder noch (3),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),weder noch (3),weder noch (3),2.0,2.0,2.0,3.0,True,,,2.0,2.0,2.0,2.0,2.0,4.0
142,GBS-17012,NEGATIV,weiblich,1986-01-14,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in","mehrere Personen, und zwar:",3 000	 bis unter 	3 250 Euro,5000	 bis unter	5 500 Euro,trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),4.0,3.0,3.0,2.0,,5.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0
143,GBS-17012,NEGATIV,weiblich,,,,,Hochschulabschluss,,,,,3 000	 bis unter 	3 250 Euro,,trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
144,GBS-17401,,männlich,1995-12-09,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",1.0,Ausbildung,"mehrere Personen, und zwar:",801	 bis unter 	1 000 Euro,6 000	 bis unter 	7 500 Euro,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,3.0,4.0,4.0,4.0
145,GBS-17401,,männlich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,801	 bis unter 	1 000 Euro,,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),weder noch (3),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
146,GBS-34971,POSITIV,männlich,1967-11-29,Deutschland,1.0,Geschieden,Hochschulabschluss,"Fachhochschulabschluss (z. B. Diplom, Master)",1.0,Angestellte(r),eine Person,4 000	 bis unter	4 500 Euro,4 000	 bis unter	4 500 Euro,eher zutreffend (4),eher zutreffend (4),weder noch (3),eher zutreffend (4),weder noch (3),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,,5.0,,2.0,3.0,4.0,4.0,4.0,4.0
147,GBS-34971,POSITIV,männlich,,,,,Hochschulabschluss,,,,,4 000	 bis unter	4 500 Euro,,eher zutreffend (4),eher zutreffend (4),weder noch (3),eher zutreffend (4),weder noch (3),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,True,,,4.0,3.0,4.0,4.0,4.0,4.0
148,GBS-28278,,männlich,1961-06-15,Deutschland,1.0,Verheiratet und lebe von meinem/meiner Ehepartner/-in getrennt,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Fachhochschulabschluss (z. B. Diplom, Master)",1.0,keine passende Angabe,eine Person,6 000	 bis unter 	7 500 Euro,6 000	 bis unter 	7 500 Euro,eher zutreffend (4),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),eher zutreffend (4),weder noch (3),2.0,2.0,3.0,2.0,True,,,2.0,3.0,3.0,2.0,3.0,4.0
149,GBS-18660,NEGATIV,männlich,1989-03-28,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",1.0,Angestellte(r),"mehrere Personen, und zwar:",500 	 bis unter	800 Euro,2 000	 bis unter	2 250 Euro,trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
150,GBS-18660,NEGATIV,männlich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,500 	 bis unter	800 Euro,,trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
151,GBS-12902,,weiblich,1960-08-22,"sonstige, und zwar:",1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Anderer Schulabschluss:,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",1.0,Angestellte(r),"mehrere Personen, und zwar:",1 000 	 bis unter 	1 250 Euro,2 500 	 bis unter 	2 750 Euro,eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,3.0,2.0,3.0,,,,3.0,2.0,4.0,3.0,3.0,4.0
152,GBS-12902,,weiblich,,,,,Anderer Schulabschluss:,,,,,1 000 	 bis unter 	1 250 Euro,,eher zutreffend (4),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,2.0,2.0,3.0,False,,,2.0,2.0,4.0,3.0,3.0,4.0
153,GBS-23224,NEGATIV,männlich,1980-05-03,Deutschland,2.0,Ledig,Fachhochschulreife (Abschluss einer Fachoberschule),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Ausbildung,"mehrere Personen, und zwar:",1 500	 bis unter	1 750 Euro,1 750 	 bis unter	2 000 Euro,eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),keine Angabe,eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),2.0,2.0,3.0,2.0,,4.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0
154,GBS-23224,NEGATIV,männlich,,,,,Fachhochschulreife (Abschluss einer Fachoberschule),,,,,1 500	 bis unter	1 750 Euro,,eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),keine Angabe,eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),4.0,4.0,2.0,3.0,False,,,3.0,2.0,3.0,4.0,3.0,3.0
155,GBS-18755,NEGATIV,weiblich,1956-01-29,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",Angabe verweigert,Angabe verweigert,weder noch (3),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,3.0,3.0,2.0,,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0
156,GBS-18755,NEGATIV,weiblich,,,,,Hochschulabschluss,,,,,Angabe verweigert,,weder noch (3),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),weder noch (3),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),3.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,4.0,4.0,4.0
157,GBS-17260,NEGATIV,männlich,1965-09-22,Deutschland,1.0,Verwitwet,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),"mehrere Personen, und zwar:",3 250	 bis unter 	3 500 Euro,4 000	 bis unter	4 500 Euro,trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0
158,GBS-17260,NEGATIV,männlich,,,,,Hochschulabschluss,,,,,3 250	 bis unter 	3 500 Euro,,trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
159,GBS-30004,,weiblich,1990-07-11,Deutschland,1.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,Angestellte(r),eine Person,Angabe verweigert,Angabe verweigert,trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),4.0,2.0,2.0,3.0,,5.0,,2.0,2.0,4.0,2.0,4.0,4.0
160,GBS-30004,,weiblich,,,,,Hochschulabschluss,,,,,Angabe verweigert,,trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),trifft voll und ganz zu (5),4.0,3.0,2.0,2.0,True,,,2.0,2.0,4.0,4.0,4.0,4.0
161,GBS-28988,,männlich,1974-10-14,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,"Anderer Abschluss, und zwar:",1.0,"Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)","mehrere Personen, und zwar:",6 000	 bis unter 	7 500 Euro,7 500 	 bis unter 	10 000 Euro,trifft eher nicht zu (2),weder noch (3),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),eher zutreffend (4),2.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,4.0,4.0,4.0
162,GBS-16739,POSITIV,männlich,1951-04-10,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Hochschulabschluss,Promotion,1.0,keine passende Angabe,"mehrere Personen, und zwar:",4 500	 bis unter	5 000 Euro,5000	 bis unter	5 500 Euro,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
163,GBS-16739,POSITIV,männlich,,,,,Hochschulabschluss,,,,,4 500	 bis unter	5 000 Euro,,trifft eher nicht zu (2),trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft eher nicht zu (2),eher zutreffend (4),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
164,GBS-23583,,männlich,1993-07-13,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",1.0,Angestellte(r),eine Person,1 000 	 bis unter 	1 250 Euro,1 000 	 bis unter 	1 250 Euro,weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),weder noch (3),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,,5.0,,4.0,3.0,4.0,4.0,4.0,4.0
165,GBS-23583,,männlich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,1 000 	 bis unter 	1 250 Euro,,weder noch (3),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),weder noch (3),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),4.0,3.0,2.0,2.0,True,,,3.0,2.0,4.0,4.0,4.0,4.0
166,GBS-08458,POSITIV,weiblich,1976-06-12,Deutschland,1.0,Verheiratet und lebe von meinem/meiner Ehepartner/-in getrennt,Fachhochschulreife (Abschluss einer Fachoberschule),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",1 500	 bis unter	1 750 Euro,2 750	 bis unter 	3 000 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),3.0,4.0,3.0,2.0,,,,2.0,3.0,3.0,3.0,3.0,4.0
167,GBS-21761,POSITIV,männlich,1983-09-19,Deutschland,1.0,Verheiratet und lebe mit meinem/r Ehepartner/-in zusammen,Realschulabschluss (Mittlere Reife),Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,1.0,Angestellte(r),"mehrere Personen, und zwar:",3 500	 bis unter 	3 750 Euro,4 500	 bis unter	5 000 Euro,trifft eher nicht zu (2),weder noch (3),weder noch (3),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),weder noch (3),trifft ueberhaupt nicht zu (1),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,4.0,4.0,4.0,4.0
168,GBS-21761,POSITIV,männlich,,,,,Realschulabschluss (Mittlere Reife),,,,,3 500	 bis unter 	3 750 Euro,,trifft eher nicht zu (2),weder noch (3),weder noch (3),trifft eher nicht zu (2),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),eher zutreffend (4),weder noch (3),trifft ueberhaupt nicht zu (1),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
169,GBS-25875,,männlich,1980-04-19,Deutschland,1.0,Ledig,Fachhochschulreife (Abschluss einer Fachoberschule),Bachelor an (Fach-)Hochschule abgeschlossen,1.0,Angestellte(r),eine Person,3 500	 bis unter 	3 750 Euro,3 500	 bis unter 	3 750 Euro,weder noch (3),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),trifft eher nicht zu (2),weder noch (3),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),eher zutreffend (4),3.0,2.0,1.0,3.0,True,,,2.0,1.0,2.0,4.0,2.0,3.0
170,GBS-03772,POSITIV,männlich,1996-06-24,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",2.0,keine passende Angabe,eine Person,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),weder noch (3),4.0,1.0,1.0,3.0,,5.0,,2.0,1.0,2.0,3.0,1.0,4.0
171,GBS-03772,POSITIV,männlich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,500 	 bis unter	800 Euro,,eher zutreffend (4),eher zutreffend (4),trifft voll und ganz zu (5),eher zutreffend (4),eher zutreffend (4),trifft eher nicht zu (2),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),weder noch (3),2.0,2.0,2.0,2.0,True,,,3.0,2.0,2.0,3.0,3.0,2.0
172,GBS-28372,,männlich,1969-05-06,Deutschland,1.0,Geschieden,Realschulabschluss (Mittlere Reife),"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",1.0,Angestellte(r),eine Person,2 750	 bis unter 	3 000 Euro,2 750	 bis unter 	3 000 Euro,weder noch (3),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),eher zutreffend (4),weder noch (3),trifft eher nicht zu (2),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),weder noch (3),4.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,4.0,4.0,-1.0
173,GBS-24722,NEGATIV,weiblich,1968-06-30,Deutschland,1.0,Ledig,Fachhochschulreife (Abschluss einer Fachoberschule),"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",1.0,Angestellte(r),eine Person,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,3.0,3.0,2.0,,5.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0
174,GBS-24722,NEGATIV,weiblich,,,,,Fachhochschulreife (Abschluss einer Fachoberschule),,,,,2 250	 bis unter	2 500 Euro,,trifft eher nicht zu (2),eher zutreffend (4),trifft ueberhaupt nicht zu (1),weder noch (3),trifft eher nicht zu (2),weder noch (3),trifft eher nicht zu (2),eher zutreffend (4),trifft eher nicht zu (2),trifft voll und ganz zu (5),3.0,3.0,3.0,2.0,True,,,3.0,3.0,3.0,4.0,4.0,4.0
175,GBS-25688,,weiblich,1995-01-16,Deutschland,1.0,Ledig,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)","Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",2.0,Angestellte(r),eine Person,1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,,5.0,,3.0,3.0,3.0,4.0,4.0,4.0
176,GBS-25688,,weiblich,,,,,"Abitur, allgemeine oder fachgebundene Hochschulreife (Gymnasium bzw. EOS)",,,,,1 250 	 bis unter 	1 500 Euro,,trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),weder noch (3),trifft voll und ganz zu (5),trifft ueberhaupt nicht zu (1),trifft voll und ganz zu (5),4.0,3.0,3.0,2.0,True,,,3.0,3.0,4.0,4.0,4.0,4.0
177,GBS-25451,POSITIV,weiblich,1992-10-17,Deutschland,1.0,Ledig,Hochschulabschluss,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",1.0,keine passende Angabe,"mehrere Personen, und zwar:",500 	 bis unter	800 Euro,1 250 	 bis unter 	1 500 Euro,trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),eher zutreffend (4),2.0,4.0,4.0,2.0,,5.0,,4.0,4.0,3.0,3.0,4.0,4.0
178,GBS-25451,POSITIV,weiblich,,,,,Hochschulabschluss,,,,,500 	 bis unter	800 Euro,,trifft eher nicht zu (2),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft ueberhaupt nicht zu (1),eher zutreffend (4),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),trifft voll und ganz zu (5),eher zutreffend (4),4.0,3.0,4.0,2.0,True,,,3.0,4.0,3.0,4.0,3.0,4.0
