,Berufliche Ausbildung,Berufsgruppe,Erwerbstaetigkeit,Familienstand,Geburtsjahr,Geburtsland,Geschlecht,Hoechster Bildungsabschluss,Nationalitaet,Nettoeinkommen Haushalt,Nettoeinkommen Selbst,Personen im Haushalt,Umfrage
811,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Männlich,Hochschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
812,,,,,nan,,Männlich,Hochschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
813,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1942,Andere,Männlich,Hauptschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
814,Promotion,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1973,Deutschland,Weiblich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,6 000	 bis unter 	7 500 Euro,"mehrere Personen, und zwar:",GBS
815,,,,,nan,,Weiblich,Hochschulabschluss,,,6 000	 bis unter 	7 500 Euro,,GBS
816,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1989,Deutschland,Weiblich,Realschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
817,,,,,nan,,Weiblich,Realschulabschluss,,,1 750 	 bis unter	2 000 Euro,,GBS
818,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1989,Deutschland,Weiblich,Abitur,Deutschland,2 500 	 bis unter 	2 750 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
819,,,,,nan,,Weiblich,Abitur,,,1 250 	 bis unter 	1 500 Euro,,GBS
820,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1962,Deutschland,Weiblich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 750	 bis unter 	4 000 Euro,"mehrere Personen, und zwar:",GBS
821,,,,,nan,,Weiblich,Hochschulabschluss,,,3 750	 bis unter 	4 000 Euro,,GBS
822,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 500	 bis unter 	3 750 Euro,eine Person,GBS
823,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1946,Deutschland,Männlich,Realschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,3 750	 bis unter 	4 000 Euro,"mehrere Personen, und zwar:",GBS
824,,,,,nan,,Männlich,Realschulabschluss,,,3 750	 bis unter 	4 000 Euro,,GBS
825,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Nicht erwerbstätig,Ledig,1995,Deutschland,Weiblich,Abitur,Deutschland,1 500	 bis unter	1 750 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
826,,,,,nan,,Weiblich,Abitur,,,801	 bis unter 	1 000 Euro,,GBS
827,,,,,1961,Deutschland,Weiblich,,Deutschland,,,,GBS
828,,,,,nan,,Weiblich,,,,,,GBS
829,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1985,Deutschland,Weiblich,Abitur,Deutschland,4 500	 bis unter	5 000 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
830,,,,,nan,,Weiblich,Abitur,,,150 	 bis unter	400 Euro,,GBS
831,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1952,Deutschland,Weiblich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
832,,,,,nan,,Weiblich,Hochschulabschluss,,,4 000	 bis unter	4 500 Euro,,GBS
833,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Verheiratet,1949,Deutschland,Weiblich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
834,,,,,nan,,Weiblich,Hochschulabschluss,,,4 000	 bis unter	4 500 Euro,,GBS
835,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1965,Deutschland,Männlich,Realschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,5000	 bis unter	5 500 Euro,"mehrere Personen, und zwar:",GBS
836,,,,,nan,,Männlich,Realschulabschluss,,,5000	 bis unter	5 500 Euro,,GBS
837,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Männlich,Abitur,Deutschland,5000	 bis unter	5 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
838,,,,,nan,,Männlich,Abitur,,,3 000	 bis unter 	3 250 Euro,,GBS
839,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Ledig,1998,Deutschland,Weiblich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
840,,,,,nan,,Weiblich,Abitur,,,150 	 bis unter	400 Euro,,GBS
841,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1990,Deutschland,Männlich,Realschulabschluss,Deutschland,Angabe verweigert,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
842,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Nicht erwerbstätig,Ledig,1990,Deutschland,Weiblich,Hochschulabschluss,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
843,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
844,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1974,Deutschland,Männlich,Hochschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,4 000	 bis unter	4 500 Euro,"mehrere Personen, und zwar:",GBS
845,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1960,Deutschland,Weiblich,Realschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
846,Promotion,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Männlich,Hochschulabschluss,Deutschland,10 000	 bis unter	20 000 Euro,10 000	 bis unter	20 000 Euro,"mehrere Personen, und zwar:",GBS
847,,,,,nan,,Männlich,Hochschulabschluss,,,10 000	 bis unter	20 000 Euro,,GBS
848,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1954,Deutschland,Weiblich,Realschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
849,,,,,nan,,Weiblich,Realschulabschluss,,,4 500	 bis unter	5 000 Euro,,GBS
850,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1975,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,2 750	 bis unter 	3 000 Euro,"mehrere Personen, und zwar:",GBS
851,,,,,nan,,Weiblich,Hochschulabschluss,,,2 750	 bis unter 	3 000 Euro,,GBS
852,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Vollzeiterwerbstätig,Ledig,1993,Deutschland,Männlich,Abitur,Deutschland,Angabe verweigert,kein eigenes Einkommen,[NA] Keine Angabe,GBS
853,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Verheiratet,1963,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
854,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1981,Deutschland,Männlich,Hochschulabschluss,Deutschland,7 500 	 bis unter 	10 000 Euro,3 500	 bis unter 	3 750 Euro,"mehrere Personen, und zwar:",GBS
855,,,,,nan,,Männlich,Hochschulabschluss,,,3 500	 bis unter 	3 750 Euro,,GBS
856,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1985,Deutschland,Männlich,Hochschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,2 000	 bis unter	2 250 Euro,eine Person,GBS
857,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,401 	 bis unter 500 Euro,"mehrere Personen, und zwar:",GBS
858,,,,,nan,,Weiblich,Abitur,,,401 	 bis unter 500 Euro,,GBS
859,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,keine passende Angabe,Vollzeiterwerbstätig,Ledig,1971,Deutschland,Männlich,Abitur,Deutschland,6 000	 bis unter 	7 500 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
860,,,,,nan,,Männlich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
861,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
862,,,,,nan,,Männlich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
863,Promotion,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1976,Deutschland,Männlich,Hochschulabschluss,Deutschland,1 750 	 bis unter	2 000 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
864,,,,,nan,,Männlich,Hochschulabschluss,,,4 500	 bis unter	5 000 Euro,,GBS
865,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Geschieden,1960,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,5000	 bis unter	5 500 Euro,eine Person,GBS
866,,,,,nan,,Weiblich,Hochschulabschluss,,,5000	 bis unter	5 500 Euro,,GBS
867,"Anderer Abschluss, und zwar:","Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Verheiratet,1972,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
868,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,Arbeiter/-in,Vollzeiterwerbstätig,Verheiratet,1957,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,500 	 bis unter	800 Euro,"mehrere Personen, und zwar:",GBS
869,,,,,nan,,Weiblich,Hauptschulabschluss,,,500 	 bis unter	800 Euro,,GBS
870,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Ausbildung,Nicht erwerbstätig,Ledig,1994,Deutschland,Männlich,Abitur,Deutschland,Angabe verweigert,500 	 bis unter	800 Euro,eine Person,GBS
871,,,,,nan,,Männlich,Abitur,,,500 	 bis unter	800 Euro,,GBS
872,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Weiblich,Realschulabschluss,Deutschland,4 500	 bis unter	5 000 Euro,1 000 	 bis unter 	1 250 Euro,"mehrere Personen, und zwar:",GBS
873,,,,,nan,,Weiblich,Realschulabschluss,,,1 000 	 bis unter 	1 250 Euro,,GBS
874,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Akademiker/-in in freiem Beruf (Arzt/Ärztin, Rechtsanwalt/-anwältin, Steuerberater/-in u. Ä.)",Vollzeiterwerbstätig,Ledig,1988,Deutschland,Weiblich,Hochschulabschluss,Deutschland,401 	 bis unter 500 Euro,401 	 bis unter 500 Euro,eine Person,GBS
875,"Fachhochschulabschluss (z. B. Diplom, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Männlich,Hochschulabschluss,Deutschland,6 000	 bis unter 	7 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
876,,,,,nan,,Männlich,Hochschulabschluss,,,3 250	 bis unter 	3 500 Euro,,GBS
877,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",keine passende Angabe,Vollzeiterwerbstätig,Geschieden,1946,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,eine Person,GBS
878,,,,,nan,,Weiblich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
879,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1997,Deutschland,Männlich,Abitur,Deutschland,5 500	 bis unter	6 000 Euro,150 	 bis unter	400 Euro,"mehrere Personen, und zwar:",GBS
880,,,,,nan,,Männlich,Abitur,,,150 	 bis unter	400 Euro,,GBS
881,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1979,Deutschland,Männlich,Abitur,Deutschland,3 250	 bis unter 	3 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
882,,,,,nan,,Männlich,Abitur,,,1 250 	 bis unter 	1 500 Euro,,GBS
883,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1971,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2 000	 bis unter	2 250 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
884,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1985,Deutschland,Weiblich,Abitur,Deutschland,1 500	 bis unter	1 750 Euro,1 500	 bis unter	1 750 Euro,eine Person,GBS
885,,,,,nan,,Weiblich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
886,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1980,Deutschland,Weiblich,Realschulabschluss,Deutschland,3 000	 bis unter 	3 250 Euro,2 250	 bis unter	2 500 Euro,eine Person,GBS
887,Bachelor an (Fach-)Hochschule abgeschlossen,Ausbildung,Vollzeiterwerbstätig,Ledig,1992,Deutschland,Weiblich,Hochschulabschluss,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
888,,,,,nan,,Weiblich,Hochschulabschluss,,,500 	 bis unter	800 Euro,,GBS
889,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Vollzeiterwerbstätig,,1993,Deutschland,Männlich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,801	 bis unter 	1 000 Euro,"mehrere Personen, und zwar:",GBS
890,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1991,Deutschland,Männlich,Abitur,Deutschland,Angabe verweigert,401 	 bis unter 500 Euro,"mehrere Personen, und zwar:",GBS
891,,,,,nan,,Männlich,Abitur,,,401 	 bis unter 500 Euro,,GBS
892,Promotion,Angestellte(r),Vollzeiterwerbstätig,Geschieden,1961,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 250	 bis unter 	3 500 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
893,,,,,nan,,Weiblich,Hochschulabschluss,,,3 250	 bis unter 	3 500 Euro,,GBS
894,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1967,Andere,Weiblich,Abitur,Deutschland,3 750	 bis unter 	4 000 Euro,1 750 	 bis unter	2 000 Euro,"mehrere Personen, und zwar:",GBS
895,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1976,Andere,Weiblich,Hochschulabschluss,Andere,7 500 	 bis unter 	10 000 Euro,3 250	 bis unter 	3 500 Euro,"mehrere Personen, und zwar:",GBS
896,,,,,nan,,Weiblich,Hochschulabschluss,,,3 250	 bis unter 	3 500 Euro,,GBS
897,"Ausbildung an einer Fach-, Meister-, Technikerschule, Berufs- oder Fachakademie abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Ledig,1978,Deutschland,Weiblich,Realschulabschluss,Deutschland,Angabe verweigert,2 500 	 bis unter 	2 750 Euro,[NA] Keine Angabe,GBS
898,,,,,nan,,Weiblich,Realschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
899,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",keine passende Angabe,Nicht erwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,150 	 bis unter	400 Euro,eine Person,GBS
900,,,,,nan,,Weiblich,Abitur,,,150 	 bis unter	400 Euro,,GBS
901,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Angestellte(r),Vollzeiterwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,eine Person,GBS
902,,,,,nan,,Weiblich,Abitur,,,801	 bis unter 	1 000 Euro,,GBS
903,[NA] Keine Angabe,keine passende Angabe,Vollzeiterwerbstätig,Ledig,1994,Deutschland,Weiblich,Abitur,Deutschland,500 	 bis unter	800 Euro,500 	 bis unter	800 Euro,eine Person,GBS
904,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1979,Deutschland,Männlich,Hochschulabschluss,Deutschland,5 500	 bis unter	6 000 Euro,3 000	 bis unter 	3 250 Euro,"mehrere Personen, und zwar:",GBS
905,,,,,nan,,Männlich,Hochschulabschluss,,,3 000	 bis unter 	3 250 Euro,,GBS
906,"Fachhochschulabschluss (z. B. Diplom, Master)",[NA] Keine Angabe,Vollzeiterwerbstätig,Verheiratet,1949,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
907,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Vollzeiterwerbstätig,Verheiratet,1979,Deutschland,Weiblich,Hochschulabschluss,Deutschland,4 000	 bis unter	4 500 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
908,,,,,nan,,Weiblich,Hochschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
909,Ausbildung an einer Fachschule der DDR abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1964,Deutschland,Weiblich,Abitur,Deutschland,2 750	 bis unter 	3 000 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
910,[NA] Keine Angabe,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1982,Deutschland,Weiblich,Abitur,Andere,4 000	 bis unter	4 500 Euro,1 250 	 bis unter 	1 500 Euro,"mehrere Personen, und zwar:",GBS
911,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1970,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
912,,,,,nan,,Weiblich,Hauptschulabschluss,,,Angabe verweigert,,GBS
913,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Ausbildung,Nicht erwerbstätig,Ledig,1987,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 500	 bis unter 	3 750 Euro,401 	 bis unter 500 Euro,"mehrere Personen, und zwar:",GBS
914,,,,,nan,,Weiblich,Hochschulabschluss,,,401 	 bis unter 500 Euro,,GBS
915,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1978,Deutschland,Weiblich,Abitur,Deutschland,3 500	 bis unter 	3 750 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
916,,,,,nan,,Weiblich,Abitur,,,1 500	 bis unter	1 750 Euro,,GBS
917,"Beruflich-schulische Ausbildung (Berufsfachschule, Handelsschule, Vorbereitungsdienst für den mittleren Dienst in der öffentlichen Verwaltung) abgeschlossen",Angestellte(r),Vollzeiterwerbstätig,Geschieden,1962,Deutschland,Weiblich,Abitur,Deutschland,1 750 	 bis unter	2 000 Euro,1 750 	 bis unter	2 000 Euro,eine Person,GBS
918,,,,,nan,,Weiblich,Abitur,,,1 750 	 bis unter	2 000 Euro,,GBS
919,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,keine passende Angabe,Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Abitur,Deutschland,Angabe verweigert,kein eigenes Einkommen,"mehrere Personen, und zwar:",GBS
920,Keinen beruflichen Abschluss und bin nicht in beruflicher Ausbildung,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1983,Deutschland,Männlich,Hauptschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
921,,,,,nan,,Männlich,Hauptschulabschluss,,,2 000	 bis unter	2 250 Euro,,GBS
922,Bachelor an (Fach-)Hochschule abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1992,Deutschland,Männlich,Hochschulabschluss,Deutschland,2 500 	 bis unter 	2 750 Euro,2 500 	 bis unter 	2 750 Euro,eine Person,GBS
923,,,,,nan,,Männlich,Hochschulabschluss,,,2 500 	 bis unter 	2 750 Euro,,GBS
924,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Angestellte(r),Vollzeiterwerbstätig,Ledig,1970,Deutschland,Weiblich,Hauptschulabschluss,Deutschland,1 250 	 bis unter 	1 500 Euro,1 250 	 bis unter 	1 500 Euro,eine Person,GBS
925,,,,,nan,,Weiblich,Hauptschulabschluss,,,1 250 	 bis unter 	1 500 Euro,,GBS
926,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)","Selbstständige (im Handel, im Gastgewerbe, im Handwerk, in der Industrie, der Dienstleistung, auch Ich-AG oder Produktionsgenossenschaft des Handwerks (PGH)-Mitglied)",Vollzeiterwerbstätig,Ledig,1983,Deutschland,Weiblich,Hochschulabschluss,Deutschland,3 750	 bis unter 	4 000 Euro,2 000	 bis unter	2 250 Euro,"mehrere Personen, und zwar:",GBS
927,,,,,nan,,Weiblich,Hochschulabschluss,,,2 000	 bis unter	2 250 Euro,,GBS
928,"Noch in beruflicher Ausbildung (Berufsvorbereitungsjahr, Auszubildende/r, Praktikant/-in, Student/-in)",Ausbildung,Vollzeiterwerbstätig,Ledig,1996,Deutschland,Weiblich,Abitur,Deutschland,401 	 bis unter 500 Euro,kein eigenes Einkommen,eine Person,GBS
929,,,,,nan,,Weiblich,Abitur,,,kein eigenes Einkommen,,GBS
930,Promotion,Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1955,Deutschland,Weiblich,Hochschulabschluss,Deutschland,5000	 bis unter	5 500 Euro,4 500	 bis unter	5 000 Euro,"mehrere Personen, und zwar:",GBS
931,"Fachhochschulabschluss (z. B. Diplom, Master)",Angestellte(r),Vollzeiterwerbstätig,Verheiratet,1973,Deutschland,Weiblich,Hochschulabschluss,Deutschland,Angabe verweigert,Angabe verweigert,"mehrere Personen, und zwar:",GBS
932,,,,,nan,,Weiblich,Hochschulabschluss,,,Angabe verweigert,,GBS
933,"Universitätsabschluss (z. B. Diplom, Magister, Staatsexamen, Master)",Angestellte(r),Nicht erwerbstätig,Ledig,1985,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 750	 bis unter 	3 000 Euro,1 500	 bis unter	1 750 Euro,"mehrere Personen, und zwar:",GBS
934,,,,,nan,,Weiblich,Hochschulabschluss,,,1 500	 bis unter	1 750 Euro,,GBS
935,Beruflich-betriebliche Berufsausbildung (Lehre) abgeschlossen,Arbeiter/-in,Vollzeiterwerbstätig,Ledig,1978,Deutschland,Männlich,Hauptschulabschluss,Deutschland,801	 bis unter 	1 000 Euro,801	 bis unter 	1 000 Euro,eine Person,GBS
936,,,,,nan,,Männlich,Hauptschulabschluss,,,801	 bis unter 	1 000 Euro,,GBS
937,Bachelor an (Fach-)Hochschule abgeschlossen,"Beamter/Beamtin, Richter/-in, Berufssoldat/-in",Nicht erwerbstätig,Ledig,1989,Deutschland,Weiblich,Hochschulabschluss,Deutschland,2 250	 bis unter	2 500 Euro,2 250	 bis unter	2 500 Euro,"mehrere Personen, und zwar:",GBS
938,,,,,nan,,Weiblich,Hochschulabschluss,,,2 250	 bis unter	2 500 Euro,,GBS
